,word,tag
167,Salbjörg,nven-s
168,Sævarsdóttir,nven-s
169, tvö <sil> sex,ta
170,varin,lhfnsf
171,skot,nheo
172,",",pk
173,Emelía,nven-s
174,Ósk,nven-s
175,Grétarsdóttir,nven-s
176, tvö,ta
177,.,pl
178,Heimamenn,nkfng
179,úr,af
180,Garðinum,nkeþgs
181,lentu,sfg3fþ
182,núll,ta
183,,m
184, tvö,ta
185,undir,aa
186,snemma,aa
187,í,af
188,leiknum,nkeþg
189,en,c
190,Eiríkur,nken-s
191,Viljar,nken-s
192,Kúld,nken-s
193,minnkaði,sfg3eþ
194,muninn,nkeog
195,.,pl
196,Ljósmyndari,nken
197,Morgunblaðsins,nheegs
198,náði,sfg3eþ
199,atvikinu,nheþg
200,greinilega,aa
201,á,af
202,mynd,nveo
203,",",pk
204,en,c
205,þetta,fahen
206,atvik,nhen
207,reyndist,sfm3eþ
208,vera,sng
209,vendipunkturinn,nkeng
210,í,af
211,leiknum,nkeþg
212,",",pk
213,sem,ct
214,Keflvík,nven-s
215,tapaði,sfg3eþ
216, eitt,ta
217,,m
218, tvö,ta
219,og,c
220,varð,sfg3eþ
221,í,af
222,kjölfarið,nheog
223,af,af
224,Íslandsmeistaratitlinum,nkeþgs
225,.,pl
226,Keflvíkingar,nkfn-s
227,litu,sfg3fþ
228,út,aa
229,eins,aa
230,og,c
231,byrjendur,nkfn
232,í,af
233,knattspyrnu,nveþ
234,og,c
235,skyndilega,aa
236,var,sfg3eþ
237,staðan,nveng
238,orðin,sþgven
239, sjö,ta
240,,m
241, eitt,ta
242,.,pl
243,Kýpverjar,nkfn
244,bættu,sfg3fþ
245,við,aa
246, tveimur,ta
247,mörkum,nhfþ
248,undir,af
249,lokin,nhfog
250,og,c
251,lokastaðan,nveng
252, ellefu,ta
253,,m
254, sex,ta
255,.,pl
256,Hörður,nken-s
257,Axel,nken-s
258,Vilhjálmsson,nken-s
259,heimabruggaður,lkensf
260,í,af
261,Dalhúsum,nhfþ-s
262,kom,sfg3eþ
263,Keflavík,nveþ-s
264,í,af
265, sextíu,ta
266,,m
267, sjötíu og tvö,ta
268,með,af
269, þriggja,ta
270,stiga,nhfe
271,körfu,nveþ
272,og,c
273,Keflvíkingar,nkfn-s
274,slúttuðu,sfg3fþ
275,vel,aa
276,og,c
277,leiddu,sfg3fþ
278, sextíu og sjö,ta
279,,m
280, áttatíu og eitt,ta
281,fyrir,af
282, fjórða,ta
283,og,c
284,síðasta,lkeove
285,leikhluta,nkeo
286,sem,ct
287,þýðir,sfg3en
288,að,c
289,þeir,fpkfn
290,unnu,sfg3fþ
291,þann,fakeo
292,þriðja,lkeovf
293, átján,ta
294,,m
295, þrjátíu og sex,ta
296,",",pk
297,magnaður,lkensf
298,leikhluti,nken
299,hjá,af
300,gestunum,nkfþg
301,.,pl
302,Lokatölur,nvfn
303,urðu,sfg3fþ
304, sjötíu og sex,ta
305,,m
306, sextíu,ta
307,fyrir,af
308,Vesturbæjarliðið,nheogs
309,og,c
310,Jón,nken-s
311,H,ks
312,Eðvaldsson,nken-s
313,",",pk
314,þjálfari,nken
315,Keflavíkur,nvee-s
316,sagði,sfg3eþ
317,að,c
318,stelpurnar,nvfng
319,hefðu,svg3fþ
320,klikkað,sþghen
321,á,af
322,andlegu,lveþsf
323,hliðinnni,nveþg
324,",",pk
325,ekki,aa
326,líkamlegu,lheþsf
327,.,pl
328,Það,fphen
329,bar,sfg3eþ
330,árangur,nkeo
331,því,fpheþ
332,Stólarnir,nkfngs
333,minnkuðu,sfg3fþ
334,muninn,nkeog
335,í,af
336, sextán,ta
337,,m
338, nítján,ta
339,þegar,c
340, ein komma  fimm,ta
341,mínúta,nven
342,var,sfg3eþ
343,eftir,aa
344,.,pl
345,Íslandsmeistarar,nkfn-s
346,Keflavíkur,nvee-s
347,gerðu,sfg3fþ
348,góða,lveosf
349,ferð,nveo
350,til,af
351,Stykkishólms,nkee-s
352,í,aa
353,gær,aa
354,er,c
355,þeir,fpkfn
356,unnu,sfg3fþ
357,Snæfell,nheo-s
358, sextíu og sjö,ta
359,,pa
360, sextíu og tvö,ta
361,.,pl
362,Við,fp1fn
363,fáum,sfg1fn
364,margar,lvfosf
365,sóknir,nvfo
366,í,af
367,hverjum,fokeþ
368,leik,nkeþ
369,og,c
370,náum,sfg1fn
371,því,aa
372,stundum,aa
373,að,cn
374,opna,sng
375,varnir,nvfo
376,andstæðingsins,nkeeg
377,",",pk
378,“,pg
379,sagði,sfg3eþ
380,Guðmundur,nken-s
381,sem,ct
382,var,sfg3eþ
383,ánægður,lkensf
384,með,af
385,Grindvíking,nkeo-s
386,í,af
387,gærkvöldi,nheþ
388,en,c
389,þeir,fpkfn
390,unnu,sfg3fþ
391,F H,n----s
392,",",pk
393,núll,ta
394,,m
395, eitt,ta
396,á,af
397,Kaplakrikavelli,nkeþ-s
398,.,pl
399,Valur,nken-s
400,Orri,nken-s
401,og,c
402,Charlie,n----s
403,Parker,n----s
404,skora,sfg3fn
405,fyrstu,lvfove
406,körfur,nvfo
407,Keflvíkingar,nkfn-s
408,en,c
409,þeir,fpkfn
410,leiða,sfg3fn
411, tvö,ta
412,,m
413, fjögur,ta
414,eftir,af
415,rúmar,lvfosf
416, tvær,ta
417,mínútur,nvfo
418,.,pl
419,Fyrri,lkenvm
420,hálfleikur,nken
421,var,sfg3eþ
422,sérstaklega,aa
423,fínn,lkensf
424,af,af
425,okkar,fp1fe
426,hálfu,nveþ
427,og,c
428,dapurt,lhensf
429,að,cn
430,fara,sng
431,ekki,aa
432,með,af
433, eitt,ta
434,,m
435,núll,ta
436,eða,c
437,jafnvel,aa
438, tvö,ta
439,,m
440,núll,ta
441,í,af
442,hálfleik,nkeþ
443,",",pk
444,“,pg
445,sagði,sfg3eþ
446,Haraldur,nken-s
447,Guðmundsson,nken-s
448,fyrirliði,nken
449,Keflvíkinga,nkfe-s
450,í,af
451,samtali,nheþ
452,við,af
453,V F,n----s
454,.,pl
455,Í,af
456,hálfleik,nkeþ
457,var,sfg3eþ
458,staðan,nveng
459, fimmtíu,ta
460,,m
461, þrjátíu og fimm,ta
462,.,pl
463,Lokatölur,nvfn
464, eitt,ta
465,,m
466, fjögur,ta
467,og,c
468,Keflavík,nven-s
469,á,sfg3en
470,að,cn
471,gera,sng
472,mun,nkeþ
473,betur,aam
474,á,aa
475,móti,af
476,svona,lkfþof
477,andstæðingum,nkfþ
478,.,pl
479,Lokatölur,nvfn
480,urðu,sfg3fþ
481,hundrað og fimm,ta
482,,m
483, sjötíu,ta
484,fyrir,af
485,Keflavík,nveo-s
486,.,pl
487,K R,nkfn-s
488,-ingar,nkfn-s
489,höfði,svg3fn
490, þrjú,ta
491,,m
492, tvo,ta
493,sigur,nkeo
494,í,af
495,fjörugum,lkeþsf
496,leik,nkeþ
497,þar,aa
498,sem,c
499,Keflvíkingar,nkfn-s
500,voru,sfg3fþ
501,í,af
502,raun,nveþ
503,óheppnir,lkfnsf
504,að,cn
505,ná,sng
506,ekki,aa
507,að,cn
508,jafna,sng
509,í,af
510,lokin,nhfog
511,.,pl
512,Jón,nken-s
513,Haukur,nken-s
514,hugðist,sfm3eþ
515,senda,sng
516,boltann,nkeog
517,inn,aa
518,í,af
519,teig,nkeo
520,en,c
521,markvörður,nken
522,gestanna,nkfeg
523,misreiknaði,sfg3eþ
524,sendinguna,nveog
525,og,c
526,missti,sfg3eþ
527,boltann,nkeog
528,yfir,af
529,sig,fpkeo
530,og,c
531,í,af
532,netið,nheog
533,og,c
534,staðan,nveng
535,orðin,sþgven
536, eitt,ta
537,,m
538, tvö,ta
539,og,c
540,mikið,lhensf
541,kapp,nhen
542,hlaupið,sþghen
543,í,af
544,Njarðvíkinga,nkfo-s
545,.,pl
546,Njarðvík,nven-s
547,-,pa
548,K R,n----s
549, sjötíu og sex,ta
550,,m
551, áttatíu og sex,ta
552,(,pa
553, átján,ta
554,,m
555, tuttugu og þrjú,ta
556,",",pk
557, nítján,ta
558,,m
559, fimmtán,ta
560,",",pk
561, tuttugu og fimm,ta
562,,m
563, tuttugu og átta,ta
564,",",pk
565, fjórtán,ta
566,,m
567, tuttugu,ta
568,),pa
569,Stjörnumenn,nkfn-s
570,leiða,sfg3fn
571,nú,aa
572, tvö,ta
573,,m
574,núll,ta
575,í,af
576,einvíginu,nheþg
577,eftir,af
578,nokkuð,fohen
579,öruggan,lkeosf
580,sigur,nkeo
581,í,af
582,Garðabæ,nkeþ-s
583,í,af
584,kvöld,nheo
585,þar,aa
586,sem,c
587,lokatölur,nvfn
588,voru,sfg3fþ
589, níutíu og átta,ta
590,,m
591, áttatíu og níu,ta
592,.,pl
593,Skarphéðinn,nken-s
594,Freyr,nken-s
595,Ingason,nken-s
596,skellti,sfg3eþ
597,niður,aa
598,stórum,lkeþsf
599,þrist,nkeþ
600,og,c
601,jafnaði,sfg3eþ
602,metin,nhfog
603,í,af
604, áttatíu,ta
605,,m
606, áttatíu,ta
607,þegar,c
608,tæpar,lvfnsf
609, þrjár,ta
610,mínútur,nvfn
611,voru,sfg3fþ
612,til,af
613,leiksloka,nhfe
614,.,pl
615,Stúlkurnar,nvfng
616,í,af
617,G R V,n----s
618,",",pk
619,sameiginlegu,lheþsf
620,liði,nheþ
621,Grindavíkur,nvee-s
622,",",pk
623,Reynis,nkee-s
624,og,c
625,Víðis,nkee-s
626,",",pk
627,í,af
628,úrvalsdeild,nveþ
629,kvenna,nvfe
630,í,af
631,knattspyrnu,nveþ
632,",",pk
633,guldu,sfg3fþ
634,afhroð,nheo
635,gegn,af
636,öflugu,lheþsf
637,liði,nheþ
638,Þórs,nkee-s
639,skástrik,pa
640,K A,n----s
641,á,af
642,Akureyri,nveþ-s
643,í,aa
644,gær,aa
645,",",pk
646, sjö,ta
647,,m
648,núll,ta
649,.,pl
650,Sigurbergur,nken-s
651,Elísson,nken-s
652,skoraði,sfg3eþ
653,fyrra,lheovm
654,mark,nheo
655,Keflvíkinga,nkfe-s
656,í,af
657, tvö,ta
658,,m
659, einum,ta
660,sigri,nkeþ
661,þeirra,fpkfe
662,á,af
663,Grindvíkingum,nkfþ-s
664,í,aa
665,gær,aa
666,í,af
667,Pepsi-deild,nveþ-s
668,karla,nkfe
669,í,af
670,fótbolta,nkeþ
671,.,pl
672,En,c
673,þrátt,aa
674,fyrir,af
675,mikinn,lkeosf
676,baráttuanda,nkeo
677,á,af
678,lokamínútunum,nvfþg
679,og,c
680,frábær,lhfosf
681,sóknartilþrif,nhfo
682,vildi,sfg3eþ
683,boltinn,nkeng
684,ekki,aa
685,inn,aa
686,og,c
687,því,aa
688,var,sfg3eþ
689,staðan,nveng
690,enn,aa
691, tvö,ta
692,,m
693, þrjú,ta
694,þegar,c
695,dómarinn,nkeng
696,flautaði,sfg3eþ
697,til,af
698,leiksloka,nhfe
699,.,pl
700,Keflvíkingar,nkfn-s
701,lögðu,sfg3fþ
702,grunn,nkeo
703,að,af
704,sigrinum,nkeþg
705,með,af
706,frábærum,lkeþsf
707,fyrsta,lkeþve
708,leikhluta,nkeþ
709,þar,aa
710,sem,c
711,þeir,fpkfn
712,náðu,sfg3fþ
713, tuttugu,ta
714,stiga,nhfe
715,forystu,nveþ
716,",",pk
717, þrjátíu og fjögur,ta
718,,m
719, fjórtán,ta
720,.,pl
721,Leiknir,nken-s
722, sex,ta
723,,m
724,núll,ta
725,Njarðvík,nveþ-s
726,Í,aa
727,gær,aa
728,lögðu,sfg3fþ
729,þeir,fpkfn
730,Hauka,nkfo-s
731,á,af
732,heimavelli,nkeþ
733, sjötíu og sex,ta
734,,pa
735, sextíu og átta,ta
736,þar,aa
737,sem,c
738,Hörður,nken-s
739,Axel,nken-s
740,daðraði,sfg3eþ
741,við,af
742,þrennu,nveþ
743,",",pk
744,skoraði,sfg3eþ
745, tuttugu og fjögur,ta
746,stig,nhfo
747,",",pk
748,tók,sfg3eþ
749, tíu,ta
750,fráköst,nhfo
751,og,c
752,gaf,sfg3eþ
753, sex,ta
754,stoðsendingar,nvfo
755,.,pl
756,Njarðvík,nven-s
757,átti,sfg3eþ
758,í,af
759,miklum,lkfþsf
760,erfiðleikum,nkfþ
761,með,af
762,að,cn
763,koma,sng
764,boltanum,nkeþg
765,upp,af
766,völlinn,nkeog
767,",",pk
768,þegar,c
769,rúm,nhen
770,mínuta,nkee
771,var,sfg3eþ
772,eftir,aa
773,var,sfg3eþ
774,staðan,nveng
775,orðin,sþgven
776, sextíu og tvö,ta
777,,m
778, sextíu og átta,ta
779,en,c
780,Njarðvíkingar,nkfn-s
781,stóðust,sfm3fþ
782,áhlaupið,nheog
783,og,c
784,voru,sfg3fþ
785,sterkir,lkfnsf
786,á,af
787,vítalínunni,nveþg
788,í,af
789,lokinn,nkeog
790,og,c
791,uppskáru,sfg3fþ
792,verðskuldan,lkeosf
793,sigur,nkeo
794, sextíu og sjö,ta
795,,m
796, sjötíu og fjögur,ta
797,.,pl
798,Keflvíkingar,nkfn-s
799,sigruðu,sfg3fþ
800, annarrar,ta
801,deildar,nvee
802,lið,nheo
803,Álfnesinga,nkfe-s
804,nokkuð,fohen
805,auðveldlega,aa
806,",",pk
807,hundrað og fimmtán,ta
808,,m
809, sjötíu og eitt,ta
810,og,c
811,meðal,af
812,annars,fohee
813,fengu,sfg3fþ
814,stórstörnur,nvfn
815,á,af
816,borð,nheo
817,við,af
818,Sigurð,nkeo-s
819,Indimundarson,nkeo-s
820,og,c
821,Fal,nkeo-s
822,Harðarson,nkeo-s
823,að,cn
824,hvíla,sng
825,í,af
826,leiknum,nkeþg
827,.,pl
828,Staðan,nveng
829,var,sfg3eþ
830, fjörutíu og þrjú,ta
831,,m
832, fimmtíu og eitt,ta
833,þegar,c
834, fjórar,ta
835,mínútur,nvfn
836,voru,sfg3fþ
837,liðnar,sþgvfn
838,af,af
839, þriðja,ta
840,leikhluta,nkeþ
841,og,c
842,leikhlé,nhen
843,hjá,af
844,Fjölnismönnum,nkfþ-s
845,.,pl
846,Grindvíkingar,nkfn-s
847,gerðu,sfg3fþ
848,ekki,aa
849,góða,lveosf
850,ferð,nveo
851,til,af
852,Vestmannaeyja,nvfe-s
853,í,af
854,gærkvöldi,nheþ
855,en,c
856,þar,aa
857,töpuðu,sfg3fþ
858,þeir,fpkfn
859, þrjú,ta
860,,m
861, eitt,ta
862,fyrir,af
863,Í B V,n----s
864,á,af
865,Hásteinsvelli,nkeþ-s
866,í,af
867, sjöttu,ta
868,umferð,nveþ
869,Pepsi-deildar,nvee-s
870,karla,nkfe
871,.,pl
872,Í,af
873,fyrrakvöld,nheo
874,var,sfg3eþ
875,Jóhann,nken-s
876,enn,aa
877,einu,tfheþ
878,sinni,nheþ
879,í,af
880,byrjunarliði,nheþ
881,Merlins,n----s
882,sem,ct
883,vann,sfg3eþ
884,T S V,n----s
885,Tröster,n----s
886,á,af
887,heimavelli,nkeþ
888,hundrað og níu,ta
889,,m
890, áttatíu og tvö,ta
891,.,pl
892,Gunnar,nken-s
893,og,c
894,Hörður,nken-s
895,settu,sfg3fþ
896,niður,aa
897, fjóra,ta
898,þrista,nkfo
899,og,c
900,koma,sfg3fn
901,Keflavík,nveþ-s
902,yfir,aa
903,þegar,c
904,um,aa
905, fjórar,ta
906,mínútur,nvfn
907,voru,sfg3fþ
908,eftir,aa
909,af,af
910,leiknum,nkeþg
911,og,c
912,staðan,nveng
913, sextíu,ta
914,,m
915, sextíu og eitt,ta
916,.,pl
917,Gangur,nken
918,leiks,nkee
919,:,pa
920,Grindavík,nveþ-s
921,-,pa
922,K R,n----s
923, níutíu og fimm,ta
924,,pa
925, áttatíu og sjö,ta
926,(,pa
927, tuttugu og þrjú,ta
928,,m
929, tíu,ta
930,",",pk
931, tuttugu og sjö,ta
932,,pa
933, tuttugu og fjögur,ta
934,",",pk
935, tuttugu og fjögur,ta
936,,m
937, þrjátíu og þrjú,ta
938,",",pk
939, tuttugu og eitt,ta
940,,m
941, tuttugu,ta
942,),pa
943,Tölfræði,nven
944,:,pa
945,Grindavík,nveþ-s
946,:,pa
947,Aaron,n----s
948,Broussard,n----s
949, þrjátíu og eitt,ta
950,skástrik,pa
951, ellefu,ta
952,fráköst,nhfn
953,skástrik,pa
954, fimm,ta
955,stoðsendingar,nvfn
956,",",pk
957,Jóhann,nken-s
958,Árni,nken-s
959,Ólafsson,nken-s
960, tuttugu og átta <sil> fimm,ta
961,fráköst,nhfo
962,",",pk
963,Þorleifur,nken-s
964,Ólafsson,nken-s
965, tólf,ta
966,",",pk
967,Ryan,n----s
968,Pettinella,n----s
969, sex <sil> fimm,ta
970,fráköst,nhfn
971,",",pk
972,Sigurður,nken-s
973,Gunnar,nken-s
974,Þorsteinsson,nken-s
975, sex <sil> tíu,ta
976,fráköst,nhfo
977,",",pk
978,Samuel,n----s
979,Zeglinski,n----s
980, sex <sil> fjögur,ta
981,fráköst,nhfo
982,skástrik,pa
983, sex,ta
984,stoðsendingar,nvfo
985,",",pk
986,Björn,nken-s
987,Steinar,nken-s
988,Brynjólfsson,nken-s
989, þrjú,ta
990,",",pk
991,Jón,nken-s
992,Axel,nken-s
993,Guðmundsson,nken-s
994, þrjú,ta
995,",",pk
996,Hilmir,nken-s
997,Kristjánsson,nken-s
998,núll,ta
999,",",pk
1000,Daníel,nken-s
1001,G,ks
1002,Guðmundsson,nken-s
1003,núll,ta
1004,",",pk
1005,Ólafur,nken-s
1006,Ólafsson,nken-s
1007,núll,ta
1008,",",pk
1009,Davíð,nken-s
1010,Ingi,nken-s
1011,Bustion,n----s
1012,núll,ta
1013,.,pl
1014,Staðan,nveng
1015,í,af
1016,einvíginu,nheþg
1017,er,sfg3en
1018, eitt,ta
1019,,m
1020,núll,ta
1021,Hamri,nkeþ-s
1022,í,af
1023,vil,nheo
1024,eftir,af
1025,sigur,nkeo
1026,liðsins,nheeg
1027,í,af
1028,Hveragerði,nheþ-s
1029, níutíu og sjö,ta
1030,,m
1031, sjötíu og sjö,ta
1032,síðastliðinn,lkeosf
1033,laugardag,nkeo
1034,.,pl
1035,Reynir,nken-s
1036,Sandgerði,nhen-s
1037,sigarði,sfg3eþ
1038,Bersekki,nkeþ-s
1039, eitt,ta
1040,,pa
1041,núll,ta
1042,á,af
1043,Sandgerðisvelli,nkeþ-s
1044,í,af
1045, þriðju,ta
1046,deildinni,nveþg
1047,í,af
1048,kvöld,nheo
1049,.,pl
1050,Fylkismenn,nkfn-s
1051,minnkuðu,sfg3fþ
1052,muninn,nkeog
1053,á,af
1054, fimmtugustu og fimmtu,ta
1055,mínútu,nveþ
1056,en,c
1057,Mangús,nken-s
1058,Sverrir,nken-s
1059,svaraði,sfg3eþ
1060,fyrir,af
1061,Keflvíkinga,nkfo-s
1062,mínútu,nveþ
1063,síðar,aam
1064,",",pk
1065,staðan,nveng
1066, eitt,ta
1067,,m
1068, fjögur,ta
1069,.,pl
1070,Staðan,nveng
1071,núll,ta
1072,,m
1073, þrjú,ta
1074,í,af
1075,hálfleik,nkeþ
1076,og,c
1077,allt,fohen
1078,stefndi,sfg3eþ
1079,í,af
1080,stóran,lkeosf
1081,sigur,nkeo
1082,.,pl
1083,Keflvíkingar,nkfn-s
1084,náðu,sfg3fþ
1085, þrjú,ta
1086,,m
1087, einni,ta
1088,forystu,nveþ
1089,þegar,c
1090,Elías,nken-s
1091,Már,nken-s
1092,skoraði,sfg3eþ
1093,örugglega,aa
1094,úr,af
1095,sinni,feveþ
1096,spyrnu,nveþ
1097,.,pl
1098,Grindavík-Þór,nven-s
1099,Þ,ks
1100,hundrað,ta
1101,,m
1102, níutíu og tvö,ta
1103,(,pa
1104, þrjátíu og eitt,ta
1105,,m
1106, tuttugu,ta
1107,",",pk
1108, nítján,ta
1109,,m
1110, tuttugu og átta,ta
1111,",",pk
1112, þrjátíu og eitt,ta
1113,,m
1114, tuttugu og eitt,ta
1115,",",pk
1116, nítján,ta
1117,,m
1118, tuttugu og þrjú,ta
1119,),pa
1120,Staðan,nveng
1121,var,sfg3eþ
1122, tuttugu og fjögur,ta
1123,,pa
1124, nítján,ta
1125,eftir,af
1126,fyrsta,lkeove
1127,leikhluta,nkeo
1128,og,c
1129,líkast,aae
1130,til,aa
1131,hefði,svg3eþ
1132,hann,fpken
1133,verið,sþghen
1134,meiri,lkenvm
1135,ef,c
1136,ekki,aa
1137,hefði,svg3eþ
1138,verið,sþghen
1139,fyrir,af
1140,Hope,n----s
1141,Elam,n----s
1142,sem,ct
1143,var,sfg3eþ
1144,við,af
1145,suðumark,nheo
1146,og,c
1147,hafði,sfg3eþ
1148,þá,aa
1149,þegar,aa
1150,gert,sþghen
1151, fimmtán,ta
1152,stig,nhfo
1153,fyrir,af
1154,gestina,nkfog
1155,.,pl
1156,Staðan,nveng
1157,í,af
1158,hálfleik,nkeþ
1159,var,sfg3eþ
1160, þrjú,ta
1161,,m
1162,núll,ta
1163,fyrir,af
1164,Keflvíkinga,nkfo-s
1165,sem,ct
1166,bættu,sfg3fþ
1167,við,aa
1168, þremur,ta
1169,mörkum,nhfþ
1170,til,af
1171,viðbótar,nvee
1172,á,af
1173,fyrstu,lveþve
1174, tuttugu,ta
1175,mínútu,nveþ
1176,seinni,lkeevm
1177,hálfleiks,nkee
1178,áður,aa
1179,en,c
1180,Leiknismönnum,nkfþ-s
1181,tókst,sfm3eþ
1182,loks,aa
1183,að,cn
1184,skora,sng
1185,.,pl
1186,Liðin,nhfng
1187,héldu,sfg3fþ
1188,til,af
1189,hálfleiks,nkee
1190,í,af
1191,stöðunni,nveþg
1192, eitt,ta
1193,,m
1194, eitt,ta
1195,og,c
1196,máttu,sfg3fþ
1197,Keflvíkingar,nkfn-s
1198,þakka,sng
1199,fyrir,af
1200,að,c
1201,mörk,nhfn
1202,K R,n----s
1203,voru,sfg3fþ
1204,ekki,aa
1205,fleiri,lhfnvm
1206,.,pl
1207,Þegar,c
1208, þrjár,ta
1209,mínútur,nvfn
1210,voru,sfg3fþ
1211,liðnar,sþgvfn
1212,stóðu,sfg3fþ
1213,tölur,nvfn
1214, níu,ta
1215,,m
1216, níu,ta
1217,.,pl
1218,Stjarnan,nvengs
1219,:,pa
1220,Justin,n----s
1221,Shouse,n----s
1222, tuttugu <sil> átta,ta
1223,fráköst,nhfn
1224,",",pk
1225,Marvin,nken-s
1226,Valdimarsson,nken-s
1227, átján <sil> sjö,ta
1228,fráköst,nhfn
1229,",",pk
1230,Keith,n----s
1231,Cothran,n----s
1232, fjórtán <sil> fjögur,ta
1233,fráköst,nhfn
1234,",",pk
1235,Jovan,n----s
1236,Zdravevski,n----s
1237, ellefu <sil> sjö,ta
1238,fráköst,nhfo
1239,",",pk
1240,Renato,n----s
1241,Lindmets,n----s
1242, níu <sil> átta,ta
1243,fráköst,nhfn
1244,",",pk
1245,Sigurjón,nken-s
1246,Örn,nken-s
1247,Lárusson,nken-s
1248, fjögur,ta
1249,",",pk
1250,Dagur,nken-s
1251,Kár,nken-s
1252,Jónsson,nken-s
1253, fjögur,ta
1254,",",pk
1255,Fannar,nken-s
1256,Freyr,nken-s
1257,Helgason,nken-s
1258, tvö,ta
1259,",",pk
1260,Aron,nken-s
1261,Kárason,nken-s
1262,núll,ta
1263,",",pk
1264,Guðjón,nken-s
1265,Lárusson,nken-s
1266,núll,ta
1267,",",pk
1268,Sigurbjörn,nken-s
1269,Ottó,nken-s
1270,Björnsson,nken-s
1271,núll,ta
1272,",",pk
1273,Magnús,nken-s
1274,Bjarki,nken-s
1275,Guðmundsson,nken-s
1276,núll,ta
1277,.,pl
1278,Njarðvíkingar,nkfn-s
1279,unnu,sfg3fþ
1280, fjörutíu og fimm,ta
1281,,m
1282, þrjátíu og sjö,ta
1283,sigur,nkeo
1284,á,af
1285,Fjölni,nkeþ-s
1286,í,aa
1287,gær,aa
1288,þegar,c
1289,liðin,nhfng
1290,mættust,sfm3fþ
1291,í,af
1292, fyrstu,ta
1293,deild,nveþ
1294,kvenna,nvfe
1295,.,pl
1296,Lokatölur,nvfn
1297,urðu,sfg3fþ
1298, sextíu og fimm,ta
1299,,m
1300, fimmtíu og eitt,ta
1301,.,pl
1302,Keflvíkingar,nkfn-s
1303,unnu,sfg3fþ
1304,öruggan,lkeosf
1305, þrjú,ta
