,sentence_id,token_id,after_measure,next_tag,type
121,104,5,-,ta,
122,104,5,66,af,
123,104,6,í,lkeþsf,
124,104,7,kaflaskiptum,nkeþ,
125,104,8,leik,pl,
126,104,9,.,nven-s,
127,251,0,Njarðvík,pa,
128,251,1,:,n----s,
129,251,2,Lele,n----s,
130,251,3,Hardy,ta,
131,251,4,35,pa,
132,251,4,/,ta,
133,251,4,16,nhfn,
134,251,5,fráköst,pk,
135,251,6,",",nven-s,
136,251,7,Svava,nven-s,
137,251,8,Ósk,nven-s,
138,251,9,Stefánsdóttir,ta,
139,251,10,7/6,nhfn,
140,251,11,fráköst,pk,
141,251,12,",",nven-s,
142,251,13,Ásdís,nven-s,
143,251,14,Vala,nven-s,
144,251,15,Freysdóttir,ta,
145,251,16,6,pk,
146,251,17,",",nven-s,
147,251,18,Sara,nven-s,
148,251,19,Dögg,nven-s,
149,251,20,Margeirsdóttir,ta,
150,251,21,3,pk,
151,251,22,",",nven-s,
152,251,23,Soffía,nven-s,
153,251,24,Rún,nven-s,
154,251,25,Skúladóttir,ta,
155,251,26,2,pk,
156,251,27,",",nven-s,
157,251,28,Guðlaug,nven-s,
158,251,29,Björt,nven-s,
159,251,30,Júlíusdóttir,ta,
160,251,31,2,pk,
161,251,32,",",nven-s,
162,251,33,Heiða,ks,
163,251,34,B.,nven-s,
164,251,35,Valdimarsdóttir,ta,
165,251,36,2,pk,
166,251,37,",",nven-s,
167,251,38,Salbjörg,nven-s,
168,251,39,Sævarsdóttir,ta,
169,251,40,2/6,lhfnsf,
170,251,41,varin,nheo,
171,251,42,skot,pk,
172,251,43,",",nven-s,
173,251,44,Emelía,nven-s,
174,251,45,Ósk,nven-s,
175,251,46,Grétarsdóttir,ta,
176,251,47,2,pl,
177,251,48,.,nkfng,
178,303,0,Heimamenn,af,
179,303,1,úr,nkeþgs,
180,303,2,Garðinum,sfg3fþ,
181,303,3,lentu,ta,
182,303,4,0,m,
183,303,4,-,ta,
184,303,4,2,aa,
185,303,5,undir,aa,
186,303,6,snemma,af,
187,303,7,í,nkeþg,
188,303,8,leiknum,c,
189,303,9,en,nken-s,
190,303,10,Eiríkur,nken-s,
191,303,11,Viljar,nken-s,
192,303,12,Kúld,sfg3eþ,
193,303,13,minnkaði,nkeog,
194,303,14,muninn,pl,
195,303,15,.,nken,
196,343,0,Ljósmyndari,nheegs,
197,343,1,Morgunblaðsins,sfg3eþ,
198,343,2,náði,nheþg,
199,343,3,atvikinu,aa,
200,343,4,greinilega,af,
201,343,5,á,nveo,
202,343,6,mynd,pk,
203,343,7,",",c,
204,343,8,en,fahen,
205,343,9,þetta,nhen,
206,343,10,atvik,sfm3eþ,
207,343,11,reyndist,sng,
208,343,12,vera,nkeng,
209,343,13,vendipunkturinn,af,
210,343,14,í,nkeþg,
211,343,15,leiknum,pk,
212,343,16,",",ct,
213,343,17,sem,nven-s,
214,343,18,Keflvík,sfg3eþ,
215,343,19,tapaði,ta,
216,343,20,1,m,
217,343,20,-,ta,
218,343,20,2,c,
219,343,21,og,sfg3eþ,
220,343,22,varð,af,
221,343,23,í,nheog,
222,343,24,kjölfarið,af,
223,343,25,af,nkeþgs,
224,343,26,Íslandsmeistaratitlinum,pl,
225,343,27,.,nkfn-s,
226,351,0,Keflvíkingar,sfg3fþ,
227,351,1,litu,aa,
228,351,2,út,aa,
229,351,3,eins,c,
230,351,4,og,nkfn,
231,351,5,byrjendur,af,
232,351,6,í,nveþ,
233,351,7,knattspyrnu,c,
234,351,8,og,aa,
235,351,9,skyndilega,sfg3eþ,
236,351,10,var,nveng,
237,351,11,staðan,sþgven,
238,351,12,orðin,ta,
239,351,13,7,m,
240,351,13,-,ta,
241,351,13,1,pl,
242,351,14,.,nkfn,
243,415,0,Kýpverjar,sfg3fþ,
244,415,1,bættu,aa,
245,415,2,við,ta,
246,415,3,2,nhfþ,
247,415,4,mörkum,af,
248,415,5,undir,nhfog,
249,415,6,lokin,c,
250,415,7,og,nveng,
251,415,8,lokastaðan,ta,
252,415,9,11,m,
253,415,9,-,ta,
254,415,9,6,pl,
255,415,10,.,nken-s,
256,424,0,Hörður,nken-s,
257,424,1,Axel,nken-s,
258,424,2,Vilhjálmsson,lkensf,
259,424,3,heimabruggaður,af,
260,424,4,í,nhfþ-s,
261,424,5,Dalhúsum,sfg3eþ,
262,424,6,kom,nveþ-s,
263,424,7,Keflavík,af,
264,424,8,í,ta,
265,424,9,60,m,
266,424,9,-,ta,
267,424,9,72,af,
268,424,10,með,ta,
269,424,11,3,nhfe,
270,424,12,stiga,nveþ,
271,424,13,körfu,c,
272,424,14,og,nkfn-s,
273,424,15,Keflvíkingar,sfg3fþ,
274,424,16,slúttuðu,aa,
275,424,17,vel,c,
276,424,18,og,sfg3fþ,
277,424,19,leiddu,ta,
278,424,20,67,m,
279,424,20,-,ta,
280,424,20,81,af,
281,424,21,fyrir,ta,
282,424,22,4.,c,ordinal
283,424,23,og,lkeove,
284,424,24,síðasta,nkeo,
285,424,25,leikhluta,ct,
286,424,26,sem,sfg3en,
287,424,27,þýðir,c,
288,424,28,að,fpkfn,
289,424,29,þeir,sfg3fþ,
290,424,30,unnu,fakeo,
291,424,31,þann,lkeovf,
292,424,32,þriðja,ta,
293,424,33,18,m,
294,424,33,-,ta,
295,424,33,36,pk,
296,424,34,",",lkensf,
297,424,35,magnaður,nken,
298,424,36,leikhluti,af,
299,424,37,hjá,nkfþg,
300,424,38,gestunum,pl,
301,424,39,.,nvfn,
302,442,0,Lokatölur,sfg3fþ,
303,442,1,urðu,ta,
304,442,2,76,m,
305,442,2,-,ta,
306,442,2,60,af,
307,442,3,fyrir,nheogs,
308,442,4,Vesturbæjarliðið,c,
309,442,5,og,nken-s,
310,442,6,Jón,ks,
311,442,7,H.,nken-s,
312,442,8,Eðvaldsson,pk,
313,442,9,",",nken,
314,442,10,þjálfari,nvee-s,
315,442,11,Keflavíkur,sfg3eþ,
316,442,12,sagði,c,
317,442,13,að,nvfng,
318,442,14,stelpurnar,svg3fþ,
319,442,15,hefðu,sþghen,
320,442,16,klikkað,af,
321,442,17,á,lveþsf,
322,442,18,andlegu,nveþg,
323,442,19,hliðinnni,pk,
324,442,20,",",aa,
325,442,21,ekki,lheþsf,
326,442,22,líkamlegu,pl,
327,442,23,.,fphen,
328,471,0,Það,sfg3eþ,
329,471,1,bar,nkeo,
330,471,2,árangur,fpheþ,
331,471,3,því,nkfngs,
332,471,4,Stólarnir,sfg3fþ,
333,471,5,minnkuðu,nkeog,
334,471,6,muninn,af,
335,471,7,í,ta,
336,471,8,16,m,
337,471,8,-,ta,
338,471,8,19,c,
339,471,9,þegar,ta,
340,471,10,"1,5",nven,
341,471,11,mínúta,sfg3eþ,
342,471,12,var,aa,
343,471,13,eftir,pl,
344,471,14,.,nkfn-s,
345,534,0,Íslandsmeistarar,nvee-s,
346,534,1,Keflavíkur,sfg3fþ,
347,534,2,gerðu,lveosf,
348,534,3,góða,nveo,
349,534,4,ferð,af,
350,534,5,til,nkee-s,
351,534,6,Stykkishólms,aa,
352,534,7,í,aa,
353,534,8,gær,c,
354,534,9,er,fpkfn,
355,534,10,þeir,sfg3fþ,
356,534,11,unnu,nheo-s,
357,534,12,Snæfell,ta,
358,534,13,67,pa,
359,534,13,:,ta,
360,534,13,62,pl,
361,534,14,.,fp1fn,
362,546,0,Við,sfg1fn,
363,546,1,fáum,lvfosf,
364,546,2,margar,nvfo,
365,546,3,sóknir,af,
366,546,4,í,fokeþ,
367,546,5,hverjum,nkeþ,
368,546,6,leik,c,
369,546,7,og,sfg1fn,
370,546,8,náum,aa,
371,546,9,því,aa,
372,546,10,stundum,cn,
373,546,11,að,sng,
374,546,12,opna,nvfo,
375,546,13,varnir,nkeeg,
376,546,14,andstæðingsins,pk,
377,546,15,",",pg,
378,546,16,“,sfg3eþ,
379,546,17,sagði,nken-s,
380,546,18,Guðmundur,ct,
381,546,19,sem,sfg3eþ,
382,546,20,var,lkensf,
383,546,21,ánægður,af,
384,546,22,með,nkeo-s,
385,546,23,Grindvíking,af,
386,546,24,í,nheþ,
387,546,25,gærkvöldi,c,
388,546,26,en,fpkfn,
389,546,27,þeir,sfg3fþ,
390,546,28,unnu,n----s,
391,546,29,FH,pk,
392,546,30,",",ta,
393,546,31,0,m,
394,546,31,-,ta,
395,546,31,1,af,
396,546,32,á,nkeþ-s,
397,546,33,Kaplakrikavelli,pl,
398,546,34,.,nken-s,
399,552,0,Valur,nken-s,
400,552,1,Orri,c,
401,552,2,og,n----s,
402,552,3,Charlie,n----s,
403,552,4,Parker,sfg3fn,
404,552,5,skora,lvfove,
405,552,6,fyrstu,nvfo,
406,552,7,körfur,nkfn-s,
407,552,8,Keflvíkingar,c,
408,552,9,en,fpkfn,
409,552,10,þeir,sfg3fn,
410,552,11,leiða,ta,
411,552,12,2,m,
412,552,12,-,ta,
413,552,12,4,af,
414,552,13,eftir,lvfosf,
415,552,14,rúmar,ta,
416,552,15,2,nvfo,
417,552,16,mínútur,pl,
418,552,17,.,lkenvm,
419,572,0,Fyrri,nken,
420,572,1,hálfleikur,sfg3eþ,
421,572,2,var,aa,
422,572,3,sérstaklega,lkensf,
423,572,4,fínn,af,
424,572,5,af,fp1fe,
425,572,6,okkar,nveþ,
426,572,7,hálfu,c,
427,572,8,og,lhensf,
428,572,9,dapurt,cn,
429,572,10,að,sng,
430,572,11,fara,aa,
431,572,12,ekki,af,
432,572,13,með,ta,
433,572,14,1,m,
434,572,14,-,ta,
435,572,14,0,c,
436,572,15,eða,aa,
437,572,16,jafnvel,ta,
438,572,17,2,m,
439,572,17,-,ta,
440,572,17,0,af,
441,572,18,í,nkeþ,
442,572,19,hálfleik,pk,
443,572,20,",",pg,
444,572,21,“,sfg3eþ,
445,572,22,sagði,nken-s,
446,572,23,Haraldur,nken-s,
447,572,24,Guðmundsson,nken,
448,572,25,fyrirliði,nkfe-s,
449,572,26,Keflvíkinga,af,
450,572,27,í,nheþ,
451,572,28,samtali,af,
452,572,29,við,n----s,
453,572,30,VF,pl,
454,572,31,.,af,
455,623,0,Í,nkeþ,
456,623,1,hálfleik,sfg3eþ,
457,623,2,var,nveng,
458,623,3,staðan,ta,
459,623,4,50,m,
460,623,4,-,ta,
461,623,4,35,pl,
462,623,5,.,nvfn,
463,643,0,Lokatölur,ta,
464,643,1,1,m,
465,643,1,-,ta,
466,643,1,4,c,
467,643,2,og,nven-s,
468,643,3,Keflavík,sfg3en,
469,643,4,á,cn,
470,643,5,að,sng,
471,643,6,gera,nkeþ,
472,643,7,mun,aam,
473,643,8,betur,aa,
474,643,9,á,af,
475,643,10,móti,lkfþof,
476,643,11,svona,nkfþ,
477,643,12,andstæðingum,pl,
478,643,13,.,nvfn,
479,644,0,Lokatölur,sfg3fþ,
480,644,1,urðu,ta,
481,644,2,105,m,
482,644,2,-,ta,
483,644,2,70,af,
484,644,3,fyrir,nveo-s,
485,644,4,Keflavík,pl,
486,644,5,.,nkfn-s,
487,713,0,KR,nkfn-s,
488,713,1,-ingar,svg3fn,
489,713,2,höfði,ta,
490,713,3,3,m,
491,713,3,-,ta,
492,713,3,2,nkeo,
493,713,4,sigur,af,
494,713,5,í,lkeþsf,
495,713,6,fjörugum,nkeþ,
496,713,7,leik,aa,
497,713,8,þar,c,
498,713,9,sem,nkfn-s,
499,713,10,Keflvíkingar,sfg3fþ,
500,713,11,voru,af,
501,713,12,í,nveþ,
502,713,13,raun,lkfnsf,
503,713,14,óheppnir,cn,
504,713,15,að,sng,
505,713,16,ná,aa,
506,713,17,ekki,cn,
507,713,18,að,sng,
508,713,19,jafna,af,
509,713,20,í,nhfog,
510,713,21,lokin,pl,
511,713,22,.,nken-s,
512,742,0,Jón,nken-s,
513,742,1,Haukur,sfm3eþ,
514,742,2,hugðist,sng,
515,742,3,senda,nkeog,
516,742,4,boltann,aa,
517,742,5,inn,af,
518,742,6,í,nkeo,
519,742,7,teig,c,
520,742,8,en,nken,
521,742,9,markvörður,nkfeg,
522,742,10,gestanna,sfg3eþ,
523,742,11,misreiknaði,nveog,
524,742,12,sendinguna,c,
525,742,13,og,sfg3eþ,
526,742,14,missti,nkeog,
527,742,15,boltann,af,
528,742,16,yfir,fpkeo,
529,742,17,sig,c,
530,742,18,og,af,
531,742,19,í,nheog,
532,742,20,netið,c,
533,742,21,og,nveng,
534,742,22,staðan,sþgven,
535,742,23,orðin,ta,
536,742,24,1,m,
537,742,24,-,ta,
538,742,24,2,c,
539,742,25,og,lhensf,
540,742,26,mikið,nhen,
541,742,27,kapp,sþghen,
542,742,28,hlaupið,af,
543,742,29,í,nkfo-s,
544,742,30,Njarðvíkinga,pl,
545,742,31,.,nven-s,
546,787,0,Njarðvík,pa,
547,787,1,-,n----s,
548,787,2,KR,ta,
549,787,3,76,m,
550,787,3,-,ta,
551,787,3,86,pa,
552,787,4,(,ta,
553,787,5,18,m,
554,787,5,-,ta,
555,787,5,23,pk,
556,787,6,",",ta,
557,787,7,19,m,
558,787,7,-,ta,
559,787,7,15,pk,
560,787,8,",",ta,
561,787,9,25,m,
562,787,9,-,ta,
563,787,9,28,pk,
564,787,10,",",ta,
565,787,11,14,m,
566,787,11,-,ta,
567,787,11,20,pa,
568,787,12,),nkfn-s,
569,842,0,Stjörnumenn,sfg3fn,
570,842,1,leiða,aa,
571,842,2,nú,ta,
572,842,3,2,m,
573,842,3,-,ta,
574,842,3,0,af,
575,842,4,í,nheþg,
576,842,5,einvíginu,af,
577,842,6,eftir,fohen,
578,842,7,nokkuð,lkeosf,
579,842,8,öruggan,nkeo,
580,842,9,sigur,af,
581,842,10,í,nkeþ-s,
582,842,11,Garðabæ,af,
583,842,12,í,nheo,
584,842,13,kvöld,aa,
585,842,14,þar,c,
586,842,15,sem,nvfn,
587,842,16,lokatölur,sfg3fþ,
588,842,17,voru,ta,
589,842,18,98,m,
590,842,18,-,ta,
591,842,18,89,pl,
592,842,19,.,nken-s,
593,845,0,Skarphéðinn,nken-s,
594,845,1,Freyr,nken-s,
595,845,2,Ingason,sfg3eþ,
596,845,3,skellti,aa,
597,845,4,niður,lkeþsf,
598,845,5,stórum,nkeþ,
599,845,6,þrist,c,
600,845,7,og,sfg3eþ,
601,845,8,jafnaði,nhfog,
602,845,9,metin,af,
603,845,10,í,ta,
604,845,11,80,m,
605,845,11,-,ta,
606,845,11,80,c,
607,845,12,þegar,lvfnsf,
608,845,13,tæpar,ta,
609,845,14,3,nvfn,
610,845,15,mínútur,sfg3fþ,
611,845,16,voru,af,
612,845,17,til,nhfe,
613,845,18,leiksloka,pl,
614,845,19,.,nvfng,
615,928,0,Stúlkurnar,af,
616,928,1,í,n----s,
617,928,2,GRV,pk,
618,928,3,",",lheþsf,
619,928,4,sameiginlegu,nheþ,
620,928,5,liði,nvee-s,
621,928,6,Grindavíkur,pk,
622,928,7,",",nkee-s,
623,928,8,Reynis,c,
624,928,9,og,nkee-s,
625,928,10,Víðis,pk,
626,928,11,",",af,
627,928,12,í,nveþ,
628,928,13,úrvalsdeild,nvfe,
629,928,14,kvenna,af,
630,928,15,í,nveþ,
631,928,16,knattspyrnu,pk,
632,928,17,",",sfg3fþ,
633,928,18,guldu,nheo,
634,928,19,afhroð,af,
635,928,20,gegn,lheþsf,
636,928,21,öflugu,nheþ,
637,928,22,liði,nkee-s,
638,928,23,Þórs,pa,
639,928,24,/,n----s,
640,928,25,KA,af,
641,928,26,á,nveþ-s,
642,928,27,Akureyri,aa,
643,928,28,í,aa,
644,928,29,gær,pk,
645,928,30,",",ta,
646,928,31,7,m,
647,928,31,-,ta,
648,928,31,0,pl,
649,928,32,.,nken-s,
650,940,0,Sigurbergur,nken-s,
651,940,1,Elísson,sfg3eþ,
652,940,2,skoraði,lheovm,
653,940,3,fyrra,nheo,
654,940,4,mark,nkfe-s,
655,940,5,Keflvíkinga,af,
656,940,6,í,ta,
657,940,7,2,m,
658,940,7,-,ta,
659,940,7,1,nkeþ,
660,940,8,sigri,fpkfe,
661,940,9,þeirra,af,
662,940,10,á,nkfþ-s,
663,940,11,Grindvíkingum,aa,
664,940,12,í,aa,
665,940,13,gær,af,
666,940,14,í,nveþ-s,
667,940,15,Pepsi-deild,nkfe,
668,940,16,karla,af,
669,940,17,í,nkeþ,
670,940,18,fótbolta,pl,
671,940,19,.,c,
672,1015,0,En,aa,
673,1015,1,þrátt,af,
674,1015,2,fyrir,lkeosf,
675,1015,3,mikinn,nkeo,
676,1015,4,baráttuanda,af,
677,1015,5,á,nvfþg,
678,1015,6,lokamínútunum,c,
679,1015,7,og,lhfosf,
680,1015,8,frábær,nhfo,
681,1015,9,sóknartilþrif,sfg3eþ,
682,1015,10,vildi,nkeng,
683,1015,11,boltinn,aa,
684,1015,12,ekki,aa,
685,1015,13,inn,c,
686,1015,14,og,aa,
687,1015,15,því,sfg3eþ,
688,1015,16,var,nveng,
689,1015,17,staðan,aa,
690,1015,18,enn,ta,
691,1015,19,2,m,
692,1015,19,-,ta,
693,1015,19,3,c,
694,1015,20,þegar,nkeng,
695,1015,21,dómarinn,sfg3eþ,
696,1015,22,flautaði,af,
697,1015,23,til,nhfe,
698,1015,24,leiksloka,pl,
699,1015,25,.,nkfn-s,
700,1033,0,Keflvíkingar,sfg3fþ,
701,1033,1,lögðu,nkeo,
702,1033,2,grunn,af,
703,1033,3,að,nkeþg,
704,1033,4,sigrinum,af,
705,1033,5,með,lkeþsf,
706,1033,6,frábærum,lkeþve,
707,1033,7,fyrsta,nkeþ,
708,1033,8,leikhluta,aa,
709,1033,9,þar,c,
710,1033,10,sem,fpkfn,
711,1033,11,þeir,sfg3fþ,
712,1033,12,náðu,ta,
713,1033,13,20,nhfe,
714,1033,14,stiga,nveþ,
715,1033,15,forystu,pk,
716,1033,16,",",ta,
717,1033,17,34,m,
718,1033,17,-,ta,
719,1033,17,14,pl,
720,1033,18,.,nken-s,
721,1051,0,Leiknir,ta,
722,1051,1,6,m,
723,1051,1,-,ta,
724,1051,1,0,nveþ-s,
725,1051,2,Njarðvík,aa,
726,1081,0,Í,aa,
727,1081,1,gær,sfg3fþ,
728,1081,2,lögðu,fpkfn,
729,1081,3,þeir,nkfo-s,
730,1081,4,Hauka,af,
731,1081,5,á,nkeþ,
732,1081,6,heimavelli,ta,
733,1081,7,76,pa,
734,1081,7,:,ta,
735,1081,7,68,aa,
736,1081,8,þar,c,
737,1081,9,sem,nken-s,
738,1081,10,Hörður,nken-s,
739,1081,11,Axel,sfg3eþ,
740,1081,12,daðraði,af,
741,1081,13,við,nveþ,
742,1081,14,þrennu,pk,
743,1081,15,",",sfg3eþ,
744,1081,16,skoraði,ta,
745,1081,17,24,nhfo,
746,1081,18,stig,pk,
747,1081,19,",",sfg3eþ,
748,1081,20,tók,ta,
749,1081,21,10,nhfo,
750,1081,22,fráköst,c,
751,1081,23,og,sfg3eþ,
752,1081,24,gaf,ta,
753,1081,25,6,nvfo,
754,1081,26,stoðsendingar,pl,
755,1081,27,.,nven-s,
756,1091,0,Njarðvík,sfg3eþ,
757,1091,1,átti,af,
758,1091,2,í,lkfþsf,
759,1091,3,miklum,nkfþ,
760,1091,4,erfiðleikum,af,
761,1091,5,með,cn,
762,1091,6,að,sng,
763,1091,7,koma,nkeþg,
764,1091,8,boltanum,af,
765,1091,9,upp,nkeog,
766,1091,10,völlinn,pk,
767,1091,11,",",c,
768,1091,12,þegar,nhen,
769,1091,13,rúm,nkee,
770,1091,14,mínuta,sfg3eþ,
771,1091,15,var,aa,
772,1091,16,eftir,sfg3eþ,
773,1091,17,var,nveng,
774,1091,18,staðan,sþgven,
775,1091,19,orðin,ta,
776,1091,20,62,m,
777,1091,20,-,ta,
778,1091,20,68,c,
779,1091,21,en,nkfn-s,
780,1091,22,Njarðvíkingar,sfm3fþ,
781,1091,23,stóðust,nheog,
782,1091,24,áhlaupið,c,
783,1091,25,og,sfg3fþ,
784,1091,26,voru,lkfnsf,
785,1091,27,sterkir,af,
786,1091,28,á,nveþg,
787,1091,29,vítalínunni,af,
788,1091,30,í,nkeog,
789,1091,31,lokinn,c,
790,1091,32,og,sfg3fþ,
791,1091,33,uppskáru,lkeosf,
792,1091,34,verðskuldan,nkeo,
793,1091,35,sigur,ta,
794,1091,36,67,m,
795,1091,36,-,ta,
796,1091,36,74,pl,
797,1091,37,.,nkfn-s,
798,1154,0,Keflvíkingar,sfg3fþ,
799,1154,1,sigruðu,ta,
800,1154,2,2.,nvee,ordinal
801,1154,3,deildar,nheo,
802,1154,4,lið,nkfe-s,
803,1154,5,Álfnesinga,fohen,
804,1154,6,nokkuð,aa,
805,1154,7,auðveldlega,pk,
806,1154,8,",",ta,
807,1154,9,115,m,
808,1154,9,-,ta,
809,1154,9,71,c,
810,1154,10,og,af,
811,1154,11,meðal,fohee,abbr
812,1154,11,annars,sfg3fþ,abbr
813,1154,12,fengu,nvfn,
814,1154,13,stórstörnur,af,
815,1154,14,á,nheo,
816,1154,15,borð,af,
817,1154,16,við,nkeo-s,
818,1154,17,Sigurð,nkeo-s,
819,1154,18,Indimundarson,c,
820,1154,19,og,nkeo-s,
821,1154,20,Fal,nkeo-s,
822,1154,21,Harðarson,cn,
823,1154,22,að,sng,
824,1154,23,hvíla,af,
825,1154,24,í,nkeþg,
826,1154,25,leiknum,pl,
827,1154,26,.,nveng,
828,1172,0,Staðan,sfg3eþ,
829,1172,1,var,ta,
830,1172,2,43,m,
831,1172,2,-,ta,
832,1172,2,51,c,
833,1172,3,þegar,ta,
834,1172,4,4,nvfn,
835,1172,5,mínútur,sfg3fþ,
836,1172,6,voru,sþgvfn,
837,1172,7,liðnar,af,
838,1172,8,af,ta,
839,1172,9,3.,nkeþ,ordinal
840,1172,10,leikhluta,c,
841,1172,11,og,nhen,
842,1172,12,leikhlé,af,
843,1172,13,hjá,nkfþ-s,
844,1172,14,Fjölnismönnum,pl,
845,1172,15,.,nkfn-s,
846,1175,0,Grindvíkingar,sfg3fþ,
847,1175,1,gerðu,aa,
848,1175,2,ekki,lveosf,
849,1175,3,góða,nveo,
850,1175,4,ferð,af,
851,1175,5,til,nvfe-s,
852,1175,6,Vestmannaeyja,af,
853,1175,7,í,nheþ,
854,1175,8,gærkvöldi,c,
855,1175,9,en,aa,
856,1175,10,þar,sfg3fþ,
857,1175,11,töpuðu,fpkfn,
858,1175,12,þeir,ta,
859,1175,13,3,m,
860,1175,13,-,ta,
861,1175,13,1,af,
862,1175,14,fyrir,n----s,
863,1175,15,ÍBV,af,
864,1175,16,á,nkeþ-s,
865,1175,17,Hásteinsvelli,af,
866,1175,18,í,ta,
867,1175,19,6.,nveþ,ordinal
868,1175,20,umferð,nvee-s,
869,1175,21,Pepsi-deildar,nkfe,
870,1175,22,karla,pl,
871,1175,23,.,af,
872,1190,0,Í,nheo,
873,1190,1,fyrrakvöld,sfg3eþ,
874,1190,2,var,nken-s,
875,1190,3,Jóhann,aa,
876,1190,4,enn,tfheþ,
877,1190,5,einu,nheþ,
878,1190,6,sinni,af,
879,1190,7,í,nheþ,
880,1190,8,byrjunarliði,n----s,
881,1190,9,Merlins,ct,
882,1190,10,sem,sfg3eþ,
883,1190,11,vann,n----s,
884,1190,12,TSV,n----s,
885,1190,13,Tröster,af,
886,1190,14,á,nkeþ,
887,1190,15,heimavelli,ta,
888,1190,16,109,m,
889,1190,16,-,ta,
890,1190,16,82,pl,
891,1190,17,.,nken-s,
892,1196,0,Gunnar,c,
893,1196,1,og,nken-s,
894,1196,2,Hörður,sfg3fþ,
895,1196,3,settu,aa,
896,1196,4,niður,ta,
897,1196,5,4,nkfo,
898,1196,6,þrista,c,
899,1196,7,og,sfg3fn,
900,1196,8,koma,nveþ-s,
901,1196,9,Keflavík,aa,
902,1196,10,yfir,c,
903,1196,11,þegar,aa,
904,1196,12,um,ta,
905,1196,13,4,nvfn,
906,1196,14,mínútur,sfg3fþ,
907,1196,15,voru,aa,
908,1196,16,eftir,af,
909,1196,17,af,nkeþg,
910,1196,18,leiknum,c,
911,1196,19,og,nveng,
912,1196,20,staðan,ta,
913,1196,21,60,m,
914,1196,21,-,ta,
915,1196,21,61,pl,
